,year,month,media,title,annotator 1,annotator 2,annotator 3,label
329,2015,12,fedlist,How Submission To Islam Could Save Europe,0,0,0,0
330,2016,4,washt,"Tyrone Ponthieux, 55, pleads guilty to threatening Obama; possible Bundy Ranch connection considered",1,0,0,0
331,2017,8,bbg,big tobacco won t let the fda cut nicotine without a fight,0,1,0,0
332,2018,7,bbg,americans rainy day funds have been growing,0,0,0,0
333,2014,9,nyt,"In the Homestretch, Obama Comes On Strong",0,0,0,0
334,2014,11,reason,Strict New Menu Labeling Rules Announced Today. Thanks Obamacare!,0,1,1,1
335,2017,12,nbc,Export-Import Bank nominee faces critical vote,0,0,0,0
336,2017,11,nyt,"As Wind Power Sector Grows, Turbine Makers Feel the Squeeze",0,0,0,0
337,2016,2,wsj,The Rise of Islamic State,0,0,0,0
338,2020,11,reason,Carbon Pricing Is a Possible Alternative to Partisan Bickering Over Climate Change,0,0,0,0
339,2019,10,wsj,The Democrats Spooky Politics,0,1,1,1
340,2017,6,wsj,U.S. Leads Billion-Dollar Resurgence,0,0,0,0
341,2022,2,reason,How To Boost the U.S. Economy While Sticking It to Putin,0,0,0,0
342,2016,5,christian,"Kepler has spotted 1,284 new exoplanets, thanks to new verification method",0,0,0,0
343,2014,12,nyt,Allies of Christie and Cuomo Defend Veto of Changes in Port Authority,1,0,0,0
344,2015,4,wsj,Rethinking Familiar Repertoire,0,0,0,0
345,2021,6,fedlist,A Whos Who Of Left-Wing Hacks: Behind The Aspen Institutes Upcoming Report On Silencing Dissent,0,1,1,1
346,2021,1,washt,"Fear is the socialist, communist, collectivist left's greatest weapon",0,1,1,1
347,2018,5,wsj,Second Democratic Senator Backs CIA Nominee Haspel,0,0,0,0
348,2020,10,wsj,Investors Bet on Swiss Francs Rise Despite Central Bank Intervention,0,0,0,0
349,2019,4,nyt,Declassified U.S. Documents Reveal Details About Argentinas Dictatorship,1,0,1,1
350,2019,7,wsj,"Red Wing, Iconic U.S. Shoe Maker, Labors Mightily to Bring Production Home",0,0,0,0
351,2018,9,wsj,A Transcendent Take on Meatloaf,0,0,0,0
352,2020,7,nyt,Help Me Find Trumps Anarchists in Portland,0,0,0,0
353,2021,10,nbc,World leaders reach landmark deal on global corporate tax rate,0,0,0,0
354,2017,3,nyt,Defending a Prisoners Care,0,0,0,0
355,2022,8,nbc,"New Hampshire Republican Senate hopefuls trash FBI, 2020 election results on debate stage",1,0,1,1
356,2016,3,wsj,Publishers Petition White House to End Cuba Book Embargo,1,0,0,0
357,2017,12,wsj,Investors and the Gender-Equality Agenda,0,0,0,0
358,2021,8,nyt,How to Make Dinner Without Cooking Anything,0,0,0,0
359,2014,6,wsj,Surrealism and Psycho Sagas,0,0,0,0
360,2020,11,nyt,It All Adds Up,0,0,0,0
361,2019,3,wsj,Ayesha Curry: Making Time for Your Passion,0,0,0,0
362,2014,8,reason,Teaching's Unappreciated Sacrifice: Paperwork,0,0,0,0
363,2016,1,cnn,Land Rover Defender ends production after seven decades,0,0,0,0
364,2016,12,nyt,Why I Talk About My Daughters Body,0,0,0,0
365,2018,10,nyt,Parts of America Are Still Struggling Economically. They Dont Matter Much in the Midterms.,0,1,0,0
366,2022,9,bbg,china s xi vows to strengthen system that develops new tech,1,0,0,0
367,2022,7,washt,White House doubles down on calls for gas station owners to trim profits,0,0,0,0
368,2020,1,nyt,What the Editorial Board Really Thought of the Democratic Candidates,0,1,0,0
369,2016,6,cnn,GOP to Trump: Stop alienating Latinos,1,1,0,1
370,2020,9,nbc,"Justice Department deems New York City, Portland and Seattle 'anarchist jurisdictions'",0,0,0,0
371,2016,10,nbc,"On the Trail, Eric Trump Says Father Pays His Taxes",0,0,0,0
372,2017,7,wsj,Britain Is Committed to Brexit and Free Trade,0,0,0,0
373,2020,11,washt,Deni Avdija is an Israeli star. Here's what you need to know about the Wizards' newest draft pick,0,0,0,0
374,2016,10,nyt,A More Money-Conscious Alphabet Emerges,0,0,0,0
375,2021,7,nyt,"A Commitment to Nonprofits, and to Each Other",0,0,0,0
376,2017,1,wsj,"Protesters Rally in Los Angeles, Atlanta, Chicago",0,1,0,0
377,2020,7,nyt,They Made How Much?,0,0,0,0
378,2017,3,wsj,Notable & Quotable: Remembering Charles H. Brunie,0,0,0,0
379,2022,5,cnn,Opinion: Why Jill Biden&s trip in Eastern Europe matters,0,0,0,0
380,2018,5,nyt,Letters From the Children of Fallen Service Members to the Parents They Lost,0,0,0,0
381,2018,11,cnn,Fake drugs: The global industry putting your life at risk,0,1,0,0
382,2021,1,nyt,"Bollinger County, Missouri Covid Case and Risk Tracker",0,0,0,0
383,2019,11,nyt,How FedEx Cut Its Tax Bill to $0,0,0,0,0
384,2018,1,nyt,Trumps Debt to Reagan,0,1,0,0
385,2014,11,wsj,Cancer-Care Giant Is Probed Over Medicare Billing,0,0,0,0
386,2022,5,bbg,ban on excessive gasoline prices is heading for us house vote,0,1,0,0
387,2022,7,washt,Outraged progressives forget 'separation of church and state' cannot be found in Bill of Rights,0,0,1,0
388,2016,11,nbc,Trump Scales Back Vow to Dismantle Obamacare,1,1,0,1
389,2015,1,reason,Abolish the Intelligence-Industrial Complex,0,0,0,0
390,2019,5,washt,Mnuchin says Congress will have to sue to get Trump taxes,1,1,1,1
391,2017,11,cnn,GOP tax plans could fuel the suburban revolt against Trump,1,1,0,1
392,2019,10,fedlist,"No, The Deep State Isnt A Bunch Of Unbiased Patriots Who Deserve Our Gratitude",1,1,1,1
393,2014,3,wsj,"Toyota, GM and Honest Government",0,0,0,0
394,2020,9,wsj,Justice Ginsburgs Death Puts Spotlight on Affordable Care Act,0,0,0,0
395,2014,11,wsj,Climate Change Returns to G-20 Agenda,0,0,0,0
396,2021,1,wsj,Want to Be a Hollywood Player? Covid and Streaming Have Changed All the Rules,0,1,0,0
397,2018,1,washt,Lawsuit demands answers on Barack Obama Presidential Center's environmental impact,0,1,0,0
398,2020,11,nyt,All the Feelings on a Brooklyn Stoop,0,0,0,0
399,2020,11,bbg,u k power grid needs investment to deliver johnson s green plan,0,0,0,0
400,2021,5,wsj,American Republics Review: A Patchwork Nation,0,0,1,0
401,2021,8,wsj,"For Black and Latino Workers, Equity Rewards Are Elusive",1,0,1,1
402,2014,3,wsj,Some See a Bargain in MetLife Shares,0,0,0,0
403,2017,11,washt,"Keith Olbermann, retiring, predicts The End of Trump",1,1,1,1
404,2015,1,christian,Bill O'Reilly will explore 'the Real West' in a new project,0,0,0,0
405,2014,7,wsj,Treasury to Sell Bills,0,0,0,0
406,2017,4,reason,The Great Charles Manson Conspiracy,0,0,0,0
407,2020,10,nyt,Google Up Against Laws That Thwarted Microsoft (and Others Since 1890),0,0,0,0
408,2020,1,reason,Rapper Drakeo the Ruler Was Accused of Murder. Prosecutors Used His Music as Proof of His Guilt.,0,0,0,0
409,2018,3,reason,"Should a Fine's ""Excessiveness"" Turn Partly on the Defendant's Wealth?",0,0,0,0
410,2020,2,wsj,Trumps Worst Enemy,0,1,1,1
411,2014,11,washt,"If you like Obama, vote for Warner",1,1,0,1
412,2015,8,wsj,Why We Write,0,0,0,0
413,2016,1,cnn,White House responds to &Making a Murderer& petition,0,0,0,0
414,2014,8,wsj,"Formerly Orthodox, and Struggling for Parental Rights",0,0,0,0
415,2019,12,christian,"Nostalgia 2020: Biden, like Trump, seeks to make America great again",0,1,0,0
416,2015,5,bbg,lessons from china s counterfeit crackdown,0,0,0,0
417,2021,11,fedlist,"Therapists Have Betrayed The Parents Of Gender-Confused Kids, And Therell Be Hell To Pay",0,1,1,1
418,2019,3,cnn,Trump 2020 budget projects big deficits despite spending cuts,0,1,0,0
419,2017,5,nyt,"Judas, Tax Cuts and the Great Betrayal",0,1,1,1
420,2018,8,wsj,Dont Overlook the Little Guy in Running Back Tandems,0,0,0,0
421,2016,5,nbc,"Americans Are Saving More, But Credit Card Debt Is Still a Problem",0,0,0,0
422,2019,10,cnn,Fact checking Trump&s &Impeach this& map,0,1,0,0
423,2016,4,christian,Why the Ted Cruz campaign is looking West,0,0,0,0
424,2016,8,reason,"Louisiana Sheriff Doesn't Like Critical Blogger, Raids Home In Search of Him",0,0,0,0
425,2018,2,nyt,The Affordable Housing Crisis Is About to Get Worse,0,0,0,0
426,2014,5,washt,"Hacking indictments could open new phrase of confrontation between U.S., China",1,0,0,0
427,2018,2,cnn,Meghan McCain sees &a lot of gray& with Trump voters and their views,0,1,0,0
428,2021,8,wsj,House Passes John Lewis Bill in Latest Voting Push,0,0,0,0
429,2016,1,wsj,Buy a TV Like a Super Bowl Champ,0,0,0,0
430,2018,9,nyt,Fraying Ties With Trump Put Jim Mattiss Fate in Doubt,0,1,0,0
431,2021,5,nyt,Why Democratic Departures From the House Have Republicans Salivating,1,1,1,1
432,2017,6,bbg,rethinking india s slum relocation policy,0,0,0,0
433,2019,7,reason,No Citizenship Question on 2020 Census as Trump Backs Down,0,0,0,0
434,2018,1,wsj,Photos of the Day: Jan. 26,0,0,0,0
435,2022,6,nyt,Commonwealth Meeting in Rwanda Has a Long Agenda. Human Rights Isnt on It.,1,1,1,1
436,2017,7,nyt,N-P-Elliott: Spring 2018,0,0,0,0
437,2017,4,wsj,Trump Tax Cuts Dont Solve Techs Massive Overseas-Cash Problem,1,1,0,1
438,2020,5,nyt,What Black America Knows About Quarantine,0,0,0,0
439,2014,2,wsj,Detroit Files Plan to Restructure Debt,0,0,0,0
440,2019,11,wsj,"Liz, Bernie, Tories, Labour and Free Markets",0,0,0,0
441,2021,12,cnn,Michelle Obama Fast Facts,0,0,0,0
442,2020,11,washt,"Democrats, you created AOC -- now deal with her",0,1,1,1
443,2017,3,nyt,Want to Make Budget Cuts? Start Here,0,0,0,0
444,2021,11,bbg,lsu hires kelly away from notre dame to be tigers next coach,0,0,0,0
445,2016,3,nyt,How We Got to a Colombian Guerrilla Camp,0,0,0,0
446,2019,2,cnn,"In border deal, Democrats gave too much away",1,1,1,1
447,2014,10,wsj,"Israel Plans 1,000 New Settler Homes",0,0,0,0
448,2021,11,nyt,Her Persistence Paid Off,0,0,0,0
449,2014,9,washt,"Ann Romney on Mitt in 2016: 'Well, we will see'",0,0,1,0
450,2015,9,nyt,Morning Agenda: Dollar Rises After Yellens Talk,0,0,0,0
451,2020,6,nyt,White America Wants Me to Conform. I Wont Do It.,1,1,1,1
452,2014,5,nyt,Bringing the Nigerian Schoolgirls Into View,0,0,0,0
453,2016,10,wsj,Revisiting Duke Ellingtons Far East Suite,0,0,0,0
454,2016,9,wsj,"Behind Monsanto Deal, Doubts About the GMO Revolution",0,0,0,0
455,2021,6,fedlist,5 New Big Tech Antitrust Bills Are A Put Up Or Shut Up Moment For Republicans,1,1,1,1
456,2021,7,nyt,"Richard Lamm, Governor and Early Abortion Rights Supporter, Dies at 85",0,0,0,0
457,2018,6,nyt,Trump Again Falsely Blames Democrats for His Separation Tactic,1,1,0,1
458,2018,9,nyt,"Foreign Powers See No Military Solution in Syria, but Diplomacy Stalls",1,1,0,1
459,2016,9,nyt,Dont Take Osteoarthritis Lying Down,0,0,0,0
460,2021,9,cnn,"White House moves to sharper, populist message to keep Democrats together in make-or-break agenda moment",1,1,0,1
461,2021,11,cnn,"Travel is back, but Omicron could change everything",0,0,0,0
462,2022,2,cnn,Secret recordings show how presidents work,0,1,0,0
463,2020,10,wsj,You Dont Have to Love the Tampa Bay Rays. You Just Shouldnt Hate Them.,1,0,0,0
464,2014,12,wsj,Quilts Reveal Americas History,0,0,0,0
465,2017,12,washt,Samaje Perine active for Redskins vs. Broncos,0,0,0,0
466,2015,10,wsj,Debate Scene: Democrats Gather in Las Vegas,0,0,0,0
467,2015,3,wsj,Do Cryptocurrencies Such as Bitcoin Have a Future?,0,0,0,0
468,2017,10,cnn,Trump avoids gun control talk in Las Vegas visit,1,1,0,1
469,2022,3,nyt,Preventing This War,0,0,0,0
470,2020,10,washt,Pelosi slams Trump for abandoning coronavirus relief talks: 'White House is in complete disarray',1,1,1,1
471,2017,9,wsj,Frustration With GOP Drove Trump to Deal With Democrats,1,1,1,1
472,2019,12,nyt,How Charlottesvilles Echoes Forced New Zealand to Confront Its History,0,0,1,0
473,2015,3,washt,Colin Powell sees 'dark vein' of intolerance in Republican Party,0,1,1,1
474,2016,1,wsj,Fixing Puerto Ricos Debt Mess,0,1,0,0
475,2015,7,nyt,Cuomo to Appoint Special Prosecutor for Killings by Police,1,1,0,1
476,2019,3,nyt,How DeVoss Cuts Would Hurt Special-Needs Kids,0,0,0,0
477,2014,10,wsj,Can Obama Find Thumpin to Say?,0,1,1,1
478,2015,4,christian,Marxist attacks in Turkey: why rights activists fear fallout,1,1,0,1
479,2022,7,bbg,here s how manchin s climate deal could make energy bills cheaper,0,0,0,0
480,2019,6,cnn,The fight between Democratic candidates over socialism heats up,1,1,1,1
481,2017,6,wsj,"Oil Prices Tick Up, But Sentiment Remains Cautious",0,0,0,0
482,2021,5,nyt,I Used to Like School: An 11-Year-Olds Struggle With Pandemic Learning,0,0,0,0
483,2015,1,nyt,Tech Giants Invest in New Dreams of Grandeur,0,0,0,0
484,2015,5,reason,The Libertarian Moment is Everywhere Around Us (Increasing Social Tolerance Edition),1,0,1,1
485,2017,12,wsj,Lois Lerner Can Come Clean; Obama Said So,0,0,1,0
486,2020,12,cnn,The fear I&ve been living with all my life,0,0,0,0
487,2019,10,wsj,Democrats Defend Private Interviews in Impeachment Probe,0,1,0,0
488,2020,9,nyt,Bringing the Theater Back to Life,0,0,0,0
489,2021,2,nyt,Biden Is the Big Spender America Wants,0,1,1,1
490,2022,5,cnn,The term &Asian American& has a radical history,1,1,0,1
491,2021,2,washt,"Chris Murphy dismisses Rand Paul criticism, says Trump impeachment has 'no comparison'",1,1,1,1
492,2015,11,reason,How to Talk to Your Republican Turkey About Obamacare,0,1,1,1
493,2020,8,nyt,Trump calls McCain a lousy candidate whose campaign was run by deadheads.,1,1,1,1
494,2016,8,wsj,Obama Defends Cash Payment to Iran,0,0,0,0
495,2021,2,reason,How To Fight Deplatforming: Decentralize,0,0,0,0
496,2015,2,christian,"In India, a clean sweep for honest governance",0,0,0,0
497,2020,4,bbg,in a post work world israel s ultra orthodox point the way,1,0,0,0
498,2017,6,nyt,Like We Dont Have Enough Problems: Trash Piles Up in Athens,0,1,0,0
499,2017,3,reason,Changing the Way We Talk About Libertarianism,1,0,1,1
500,2016,9,nbc,Not Welcome Here': No Love for Trump on Mexico City Streets,1,1,1,1
501,2020,10,cnn,Grandfather pleads guilty in death of toddler who fell from cruise ship in Puerto Rico,0,0,0,0
502,2021,2,bbg,how billionaire robert smith avoided indictment in multimillion dollar tax case,0,0,0,0
503,2022,3,nyt,"Trump Is Guilty of Numerous Felonies, Prosecutor Who Resigned Says",1,1,1,1
504,2017,5,nyt,"New York Today: Welcome Back, Liberty",0,0,1,0
505,2017,10,cnn,Chip and Joanna Gaines want you to know they&re good,0,0,0,0
506,2016,12,nyt,Myanmars Leader Faulted for Silence as Army Campaigns Against Rohingya,0,0,0,0
507,2018,4,cnn,White House talking points on Syria before Haley&s interview cite intended Russia sanctions,0,1,0,0
508,2020,7,wsj,Scotts Police Reform Could Be a Key for GOP,1,0,0,0
509,2022,7,cnn,Congress passes bill boosting US semiconductor production,0,0,0,0
510,2014,4,wsj,American Meb Keflezighi Wins in Boston,0,0,0,0
511,2015,2,reason,Jason Chaffetz Says D.C. Officials Could Go to Prison If They Stop Busting People for Pot,1,1,1,1
512,2020,9,cnn,"Bob Woodward on Trump&s pandemic response: &In covering nine presidents, I&ve never seen anything like it&",1,1,1,1
513,2018,4,cnn,Justice Department inspector general report cites lack of candor by McCabe,1,0,0,0
514,2017,9,nbc,Fashion Model Teddy Quinlivan Comes Out as Transgender,0,0,0,0
515,2019,11,nbc,The Best Defense,0,0,0,0
516,2017,5,wsj,Kyle Chandler Has Earned His Feel-Good Moment,0,0,0,0
517,2015,1,fedlist,The Inherent Vice Of This Film Is Its Lack Of A Reason For Existing,0,0,0,0
518,2022,9,washt,"Study: Vaping, pot on rise among teens, booze and cigarette use down",0,0,0,0
519,2021,5,cnn,Biden says he no longer understands Republicans. He has a chance to figure the GOP out this week.,1,1,1,1
520,2020,8,washt,Mitch McConnell: Democrats want dictate hamburger consumption,1,1,1,1
521,2015,11,wsj,"DSW Names New CEO, Blames Slow Traffic for Weak Results",0,0,0,0
522,2019,5,nbc,Trump downplays North Korea missile tests amid stalled nuclear talks with Kim Jong Un,0,0,0,0
523,2020,2,nbc,NBC News/WSJ poll: Sanders gains ground on Biden with black voters nationally,0,0,0,0
524,2016,9,cnn,Trump angry at allies conceding he lost debate,1,1,1,1
525,2020,11,nyt,Two Presidential Candidates Detained as They File to Run in Uganda,0,1,0,0
526,2022,1,cnn,US Senate candidate from Louisiana smokes marijuana in new campaign ad,0,1,1,1
527,2017,1,wsj,Qualcomms Quarter Overshadowed by International Challenges,0,0,0,0
528,2022,4,nbc,Ivanka Trump spends hours testifying before Jan. 6 committee,0,1,0,0
529,2022,7,cnn,"With no federal emergency declaration, San Francisco and New York sound alarm on monkeypox",0,0,0,0
530,2014,4,bbg,hbo no go your game of thrones streaming woes dont matter,0,0,0,0
531,2019,6,nbc,Trump normalizes foreign election intervention ahead of 2020,1,1,1,1
532,2018,3,nyt,"Denounced by His Party as a Nazi, Arthur Jones Wins Illinois G.O.P. Congressional Primary",1,1,1,1
533,2017,1,nyt,"Helicopter Carrying Injured Skier Crashes in Italy, Killing 6",0,0,0,0
534,2021,5,cnn,Kevin McCarthy&s dishonest explanation for getting rid of Liz Cheney,1,1,1,1
535,2022,7,nyt,I Was Betrayed by President Trump,1,1,1,1
536,2018,3,nyt,"Who Is Larry Kudlow, Trumps New Economic Adviser?",0,0,0,0
537,2022,3,cnn,America&s disdain for Black men and boys hasn&t diminished in the years since Trayvon Martin was killed,1,1,1,1
538,2020,10,wsj,"This Is a Year to Forget, but Boeings 2021 Isnt Looking Great Either",0,0,0,0
539,2015,1,nyt,"In Remote Thai Villages, Legacy of Chinas Lost Army Endures ",0,0,0,0
540,2017,1,wsj,"Supreme Court Nominee to Be Announced Next Week, Trump Says",0,0,0,0
541,2016,1,cnn,How likely is a pardon for &Making a Murderer& convict?,0,0,0,0
542,2020,5,nbc,Justice Department drops case against ex-Trump adviser Michael Flynn,0,0,0,0
543,2020,3,wsj,Democratic Donors Have Their Candidate,0,0,0,0
544,2016,2,wsj,London Terror Suspect Pleads Guilty,0,0,0,0
545,2019,3,cnn,Partisan squabbles shadow Congress& efforts to lower drug prices,1,1,1,1
546,2021,9,fedlist,How Texas Is Punching Back At An Establishment Obsessed With Killing Babies,1,1,1,1
547,2014,10,nyt,"Kim Gordon on Catherine Breillat, Comedians and Her Rodarte Football Jersey",0,0,0,0
548,2021,6,nyt,The Freeing of the American Mind,0,0,0,0
549,2016,2,nyt,How to Get Rid of a Tattoo Youve Outgrown,0,0,0,0
550,2017,4,cnn,Boston bomber Tamerlan Tsarnaev told FBI he never picked a fight,0,0,0,0
551,2017,2,christian,Opinion: The trouble with Trump's Russia reset,1,1,0,1
552,2022,5,nyt,An N.B.A. Coachs Journey from FedEx to the Top Job,0,0,0,0
553,2018,6,washt,"Trump Doctrine is 'We're America, B----,' senior administration officials say",1,1,1,1
554,2014,6,nyt,When Should We Be Sorry?,0,0,0,0
555,2016,6,cnn,Trump&s tax bill: Smaller than you think?,1,1,1,1
556,2019,1,cnn,Effort to ease Russian sanctions boosted by former Louisiana senator,0,0,0,0
557,2015,8,nbc,Republicans Hope Cleveland Rocks For Them in 2016,0,1,1,1
558,2021,7,cnn,Trump&s praise complicates Youngkin&s attempted pivot to the political middle in Virginia,0,0,1,0
559,2019,3,nyt,1962: The Bumbling Beginning,0,0,0,0
560,2019,3,nbc,"Mail bomb suspect Cesar Sayoc to plead guilty in spree targeting Obama, De Niro, CNN",0,0,0,0
561,2016,5,wsj,UBS Taps Former Commerzbank Chief Martin Blessing,0,0,0,0
562,2016,3,nyt,A Question Still Hanging at the Met Breuer: Why?,0,0,0,0
563,2016,6,nyt,Virginia Raggi of Five Star Movement Sweeps Election for Romes Mayor,0,0,0,0
564,2015,5,washt,"Senate averts trade filibuster, delivers big win to Obama in fast-track fight",1,1,0,1
565,2017,12,nyt,"Did Trump Kill Off a Two-State Solution? He Says No, Palestinians Say Yes",1,1,1,1
566,2018,10,washt,"Voting rights battles in Georgia, Texas loom over midterm elections",1,1,0,1
567,2015,5,wsj,Avis Posts Loss Amid Strong Dollar,0,0,0,0
568,2015,7,cnn,"Univision, NBC & Macy&s dump Trump -- he doesn&t budge",1,1,1,1
569,2014,5,nyt,Judging Spinoza,0,0,0,0
570,2018,9,nyt,How Adventure Time Became a Talent Factory for a Generation of Animators,0,0,0,0
571,2014,5,wsj,Iran Pays Afghans to Fight for Assad,1,0,0,0
572,2016,1,wsj,The Best and Worst Airlines of 2015,0,0,0,0
573,2018,1,wsj,Fox Poised to Win Rights to NFL Thursday Night Package,0,0,0,0
574,2018,1,nyt,When American Soldiers Met Vietnamese Cuisine,0,0,0,0
575,2017,3,cnn,Family asks FBI to probe black Muslim teen&s hanging,1,0,1,1
576,2018,12,cnn,Trump unwilling to compromise on deal for border security funding even as allies float potential solutions,1,1,1,1
577,2019,2,washt,Maduro: Trump trying to start a war over oil in South America,1,1,1,1
578,2015,5,nyt,"The Thunder of Giants, by Joel Fishbane",0,0,0,0
579,2017,1,nbc,Trump Says of U.S. Intel: 'I Want Them to Be Sure' About Russia Hacks,1,1,0,1
580,2022,9,bbg,in venice harry styles talks acting music and fans,0,0,0,0
581,2016,6,nyt,Obama Wades Into Election Debate With Indiana Speech,1,1,1,1
582,2014,10,wsj,Best of the Web Today: Honesty and Policy,0,0,0,0
583,2017,1,nyt,Trump Shows How to Smother a Scandal: With a Bigger Story,1,1,1,1
584,2019,8,cnn,"In Netanyahu&s hour of need, Trump is nowhere to be seen",1,1,1,1
585,2021,4,washt,White House announces formal support for D.C. statehood bill,0,0,0,0
586,2015,7,nbc,Washington Neighborhood Devastated by Wildfire,0,0,0,0
587,2020,2,nyt,Trump Administration Sees No Threat to Economy From Monopolies,0,0,0,0
588,2019,2,cnn,"Kendrick Lamar, Drake and Childish Gambino reportedly turned down the Grammys",0,0,0,0
589,2016,8,cnn,Trump&s immigration policy (or what we know about it) in 13 illuminating tweets,0,0,0,0
590,2015,5,nbc,Obama's Trade Agenda Fails Key Test From Senate Democrats,1,1,1,1
591,2017,3,christian,Rick Perry casts doubt on win of first openly gay student president at Texas A&M,1,0,1,1
592,2021,4,wsj,Kris Jenners Secret to Making the Best Deals,0,0,0,0
593,2021,6,fedlist,Bidens Infrastructure Double-Cross Gives Republicans Legislative Leverage,1,1,1,1
594,2016,8,nyt,Donald Trump Visits Flood-Damaged Louisiana Area,0,0,0,0
595,2015,11,cnn,Election 2016: On the campaign trail,0,0,0,0
596,2017,3,nyt,From Artists Hand to Shops Counter: The Whitney Teams Up With Tiffany,0,0,0,0
597,2014,7,nyt,Sorrow in the Stands,0,0,0,0
598,2019,6,wsj,Australian Student Reportedly Detained in North Korea,0,0,0,0
599,2018,7,wsj,Grown-Ups Fight for Childrens Right to Sell Lukewarm Lemonade,0,0,0,0
600,2019,9,cnn,Live Updates: India&s Narendra Modi and Donald Trump visit Houston,0,0,0,0
601,2018,8,cnn,Sen. John McCain to lie in state. Here&s what that means,1,1,1,1
602,2021,12,bbg,macron sees difficult days ahead for france amid covid surge,0,0,0,0
603,2015,12,nbc,AG Lynch: President Will Call On Congress to Take Action on Guns in San Bernardino Address,1,1,0,1
604,2014,5,wsj,California Chrome Wins Preakness,0,0,0,0
605,2018,7,nbc,"Brad Pitt, Leonardo DiCaprio turned down 'Brokeback Mountain,' Gus Van Sant says",0,0,0,0
606,2015,11,nyt,Republicans Discuss Geopolitics at Thanksgiving Table in Iowa,0,1,0,0
607,2017,1,wsj,Palanks Take: Appeals Court Upholds Former Sentinel Chiefs Conviction,1,0,0,0
608,2015,7,washt,Hispanic rights groups protest fed plan to revoke amnesties,1,1,0,1
609,2020,11,washt,Nancy Pelosi and Chuck Schumer tell Republicans to accept projected Trump loss and move on,1,1,1,1
610,2019,5,nyt,The Sabotage Years,0,0,0,0
611,2017,8,nyt,"Anthony Scaramucci, John Kelly, Venezuela: Your Tuesday Briefing",0,0,0,0
612,2022,5,nyt,Texas 31st Congressional District Primary Election Results,0,0,0,0
613,2020,1,nbc,"Iran's only female Olympic medalist appears to defect, criticizes regime",1,0,0,0
614,2017,7,nyt,Hanoi House,0,0,0,0
615,2017,2,wsj,Bad Banks Spread Across China,0,0,0,0
616,2018,7,nbc,"Trump's auto tariffs will cost consumers $83 billion, insiders tell Commerce in hearing",1,1,0,1
617,2022,2,christian,"Full circle': Activist fought Philippine dictator, now his son",1,0,0,0
618,2014,8,nyt,"Go West, Democrats",0,0,1,0
619,2017,3,nyt,How Would the Repeal of Obamacare Affect You?,0,0,0,0
620,2020,1,nyt,Trump on Virginia Gun Dispute: 2nd Amendment Under Very Serious Attack,1,1,1,1
621,2020,10,nbc,Greek court rules far-right Golden Dawn leaders ran a crime group,1,1,0,1
622,2017,12,cnn,What happened in the Senate on Wednesday is about a lot more than Franken,0,0,0,0
623,2018,4,cnn,Congress isn&t doing its job -- or anything close to it,1,1,1,1
624,2018,10,reason,William Rehnquist Proposed to Sandra Day O'Connor When They Were in Their 20s,0,0,0,0
625,2020,11,nyt,When a Dance Collective Was Like a Rock Band,0,0,0,0
626,2014,9,cnn,How slavery haunts today&s America,0,1,0,0
627,2020,3,washt,Senate Democrats again block procedural vote on coronavirus bill,1,1,0,1
628,2022,6,cnn,"John Hinckley Jr. on track to have conditions of release lifted this summer, his lawyer says",0,0,0,0
629,2017,4,wsj,Trump Bets on Long Game With China,1,1,0,1
630,2016,1,wsj,Economic Anxieties Confront Candidates,1,1,0,1
631,2022,7,cnn,What John Bolton gets wrong about coup attempts -- and Donald Trump,1,1,0,1
632,2017,7,wsj,Low-income NYC Students Get a Shot at the Spotlight,0,0,0,0
633,2020,3,cnn,Joe Biden&s pledge could change the look of the Supreme Court,1,0,0,0
634,2019,9,washt,Kamala Harris: I wouldn't say there's no evidence of new Kavanaugh allegations,0,0,0,0
635,2020,11,cnn,House Democrats ask to delay Supreme Court arguments over Mueller docs,1,1,0,1
636,2019,11,washt,Nationals draw huge crowd at White House,0,1,0,0
637,2018,9,washt,The New York Times takes it on the chin after asking for help finding 'false information',0,1,0,0
638,2016,12,wsj,Trumps Carrier Shakedown,0,1,0,0
639,2018,8,wsj,"In Harlem and Detroit, Fans Pay Respect to Aretha Franklin",0,0,0,0
640,2015,5,cnn,"Oregon outlaws gay conversion therapy, joining two other states",1,0,1,1
641,2017,3,cnn,What&s next for Paul Ryan?,0,0,0,0
642,2016,9,wsj,Obamas Political Bank Run,0,1,0,0
643,2017,2,cnn,Conan O&Brien surprises Patriots Super Bowl hero with new truck,0,0,0,0
644,2018,7,nbc,GOP governor cuts $16 million from budget to take anti-abortion stand,1,1,0,1
645,2020,8,nyt,The Immoral Double Life of the Former King of Spain,0,0,0,0
646,2022,2,wsj,Senior Aides in Boris Johnsons Government Quit Amid Scandal Over Lockdown Parties,1,1,0,1
647,2018,7,nyt,How Republican Lawmakers Responded to Trumps Russian Meddling Denial,0,1,0,0
648,2021,5,nyt,"Buddy Roemer, Reformer as a Louisiana Governor, Dies at 77",0,0,0,0
649,2015,8,christian,"Shell in the Arctic: Please, Mr. Obama, may we drill some more?",1,1,1,1
650,2020,5,washt,"U.S. faces worse-than-average hurricane season, Trump told",0,1,0,0
651,2016,10,nyt,G.O.P. on Fire Bombing in North Carolina,1,0,0,0
652,2014,12,washt,"JOSEPH CURL: At Christmastime, George W. Bush was Santa, Obama is Scrooge",0,1,1,1
